atype,date,lead_par,url,word_count
News,2018-01-05,Good Friday. Here’s what we’re watching:,https://www.nytimes.com/2018/01/05/business/dealbook/dow-25000-markets.html,3041
News,2018-01-05,The author of a scathing new book about President Trump said on Friday that the president’s attempt to block its publication would not only help with sales but would also confirm the book’s key finding: Mr. Trump is unfit for office.,https://www.nytimes.com/2018/01/05/business/media/michael-wolff-trump-today.html,637
News,2018-01-05,"In the 1950s, a pack of Camels could be had for as little as 25 cents in some parts of the country. But in New York City today, heavy taxes have pushed that price north of $13. Even adjusted for inflation, that’s more than a fivefold increase.",https://www.nytimes.com/2018/01/05/business/economy/why-even-tougher-regulations-on-smoking-are-justified.html,975
News,2018-01-05,"PASADENA, Calif. — Too many TV shows to choose from?",https://www.nytimes.com/2018/01/05/business/media/487-original-programs-aired-in-2017.html,637
News,2018-01-05,"Robert S. Khuzami, who led the enforcement division of the Securities and Exchange Commission for four years during the Obama administration, was named on Friday as the deputy United States attorney in Manhattan.",https://www.nytimes.com/2018/01/05/business/robert-khuzami-us-attorneys-office.html,519
News,2018-01-07,"Last May, Jared Kushner accompanied President Trump, his father-in-law, on the pair’s first diplomatic trip to Israel, part of Mr. Kushner’s White House assignment to achieve peace in the Middle East.",https://www.nytimes.com/2018/01/07/business/jared-kushner-israel.html,1380
News,2018-01-08,"Pamela Anderson walks down a city street and uses her cellphone to book a ride. Along the way, she passes a newspaper and street signs that say, “Hollywood Sexual Harassment Scandal Reaches New Lows” and “U.S. Senator Accused of Groping.” When she gets into the car, she sees another sign that says, “Ride-Hail Drivers Suspected of Rape.” The car doors lock, and the driver turns around and suggestively asks, “Shall we?” Just then, “#MeToo” pops up on her phone’s screen.",https://www.nytimes.com/2018/01/07/business/media/uber-lyft-ad.html,828
News,2018-01-08,"In the weeks after Stephen K. Bannon’s ouster from the Trump White House last August, his flagship organization Breitbart News verged, at times, on a Bannon vanity project.",https://www.nytimes.com/2018/01/07/business/media/steve-bannon-breitbart.html,954
News,2018-01-08,A senior editor for BBC News accused the network in an open letter on Sunday of operating a “secretive and illegal” salary system that pays men more than women in similar positions.,https://www.nytimes.com/2018/01/07/business/media/bbc-gender-pay-gap.html,655
News,2018-01-08,Here’s what to expect in the week ahead:,https://www.nytimes.com/2018/01/07/business/inflation-consumer-tech-earnings.html,583
News,2018-01-08,Good Monday. Here’s what we’re watching:,https://www.nytimes.com/2018/01/08/business/dealbook/intel-ceo-security.html,3331
News,2018-01-08,"When Samantha Barry was growing up in Ireland, she and her family would gather around the television to watch the 6 o’clock news. They also told stories around the dinner table and read a number of newspapers and magazines, including Vogue and old issues of Time.",https://www.nytimes.com/2018/01/08/business/media/conde-nast-glamour-editor.html,949
News,2018-01-08,"LANZHOU, China — Feng Gang stood in front of 150 people in a conference hall in Beijing that Amway, the American marketing giant, calls its flagship “experience center.”",https://www.nytimes.com/2018/01/08/business/amway-china.html,1634
